row_name,uniq_idx,uniq_idx_sum,entro,vec_sum,sim_sum,sim_min,sim_max,is_sampled,uniq_rank,id,lon,lat
TQ4864c,0.7251,36255.23559,10.30146,1.58977,13744.76441,0,1,True,891271.5,TQ4864c,548750,164750
TQ4864d,0.72521,36260.73581,10.30097,1.58885,13739.26419,0,1,True,890677.5,TQ4864d,548250,164750
TQ4865a,0.72757,36378.64899,10.29052,1.56971,13621.35101,0,1,True,877138.5,TQ4865a,548250,165250
TQ4865b,0.72743,36371.36448,10.29117,1.57087,13628.63552,0,1,True,877983.5,TQ4865b,548750,165250
TQ4865c,0.73011,36505.4444,10.27914,1.54995,13494.5556,0,1,True,862636.5,TQ4865c,548750,165750
TQ4865d,0.73029,36514.48181,10.27833,1.54858,13485.51819,0,1,True,861606,TQ4865d,548250,165750
TQ4866a,0.73348,36673.91766,10.26379,1.52488,13326.08234,0,1,True,841638.5,TQ4866a,548250,166250
TQ4866b,0.7332,36659.77101,10.26509,1.52694,13340.22899,0,1,True,843450,TQ4866b,548750,166250
TQ4866c,0.73689,36844.38791,10.24796,1.50074,13155.61209,0,1,True,820864,TQ4866c,548750,166750
TQ4866d,0.73732,36865.80953,10.24594,1.49778,13134.19047,0,1,True,818166.5,TQ4866d,548250,166750
TQ4867a,0.7421,37105.09314,10.22306,1.46589,12894.90686,0,1,True,789338,TQ4867a,548250,167250
TQ4867b,0.74143,37071.56141,10.22631,1.47024,12928.43859,0,1,True,793412.5,TQ4867b,548750,167250
TQ4867c,0.74716,37357.81827,10.19803,1.43416,12642.18173,0,1,True,759675,TQ4867c,548750,167750
TQ4867d,0.7484,37420.11181,10.19171,1.42662,12579.88819,0,1,True,752434.5,TQ4867d,548250,167750
TQ4868a,0.75746,37872.75979,10.14378,1.37464,12127.24021,0,1,True,700648.5,TQ4868a,548250,168250
TQ4868b,0.75474,37737.16645,10.15853,1.38973,12262.83355,0,1,True,716062.5,TQ4868b,548750,168250
TQ4868c,0.76572,38285.92748,10.09645,1.33087,11714.07252,0,1,True,653357,TQ4868c,548750,168750
TQ4868d,0.77306,38653.13778,10.05095,1.29435,11346.86222,0,1,True,613181,TQ4868d,548250,168750
TQ4869a,0.80907,40453.44816,9.75643,1.13754,9546.55184,0,1,True,407900,TQ4869a,548250,169250
TQ4869b,0.78804,39401.91741,9.94551,1.22536,10598.08259,0,1,True,529536.5,TQ4869b,548750,169250
TQ4869c,0.81695,40847.70659,9.66727,1.10661,9152.29341,0,1,True,365944.5,TQ4869c,548750,169750
TQ4869d,0.79013,39506.63562,9.92913,1.21619,10493.36438,0,1,True,516722.5,TQ4869d,548250,169750
TQ4870a,0.76665,38332.43963,10.09088,1.32613,11667.56037,0,1,True,648287.5,TQ4870a,548250,170250
